,AAAU,SPY,ISF.L,ESS,EEM,FXE,BofA
2019-04-09,13.03,264.265259,733.399231,240.518082,39.262768,104.168671,1333.2
2019-04-10,13.07,265.166656,733.399231,241.555588,39.448841,104.246269,1334.27
2019-04-11,12.91,265.092987,733.199524,242.492691,39.023521,104.129913,1336.72
2019-04-12,12.89,266.886536,735.095764,242.777145,39.307064,104.45961,1339.39
2019-04-15,12.86,266.711823,735.195618,241.555588,39.103271,104.517792,1339.62
2019-04-16,12.75,266.886536,738.089722,233.021225,39.395679,104.323853,1340.57
2019-04-17,12.72,266.233643,738.089722,229.783188,39.510868,104.449905,1339.76
2019-04-18,12.74,266.757813,738.189453,232.845612,39.484295,103.819572,1339.12
2019-04-23,12.71,269.388458,743.877747,231.682495,39.315929,103.761414,1340.68
2019-04-24,12.74,268.790558,739.287109,233.155136,38.784271,103.111671,1341.98
2019-04-25,12.76,268.625,736.293213,232.88739,38.731113,102.927444,1341.05
2019-04-26,12.85,269.875946,734.896057,235.472794,38.881741,103.034103,1341.56
2019-04-29,12.78,270.299011,737.091675,232.310028,38.961491,103.3638,1342.77
2019-04-30,12.83,270.436981,735.39502,236.368088,38.926044,103.654739,1343.45
2019-05-01,12.75,268.404236,731.802368,237.355347,38.63364,103.460785,1344.07
2019-05-02,12.7,267.824829,728.509277,236.836609,38.722248,103.257133,1341.65
2019-05-03,12.77,270.446228,731.40332,237.907578,39.183014,103.50927,1343.46
2019-05-07,12.83,264.835449,719.128357,233.364304,37.623493,103.373497,1340.35
2019-05-08,12.8,264.467529,720.325806,233.004547,37.570335,103.431686,1340.11
2019-05-09,12.82,263.667358,714.43811,234.351608,36.976639,103.674118,1336.46
2019-05-10,12.85,264.991913,713.440125,237.489212,37.198174,103.771095,1336.1
2019-05-13,12.97,258.33252,710.346375,237.296783,35.957642,103.780777,1330.87
2019-05-14,12.95,260.668823,718.729248,236.434937,36.462719,103.538338,1333.3
2019-05-15,12.95,262.195679,723.619141,237.765305,36.5336,103.538338,1332.49
2019-05-16,12.86,264.62384,732.002014,239.246323,36.35638,103.286232,1335.48
2019-05-17,12.76,262.913116,730.904358,239.313187,35.700672,103.13105,1335.35
2019-05-20,12.77,261.174744,727.511292,237.664902,35.550037,103.169876,1335.19
2019-05-21,12.73,263.529388,729.806519,239.865479,36.001938,103.121384,1337.71
2019-05-22,12.72,262.720001,729.806519,240.919693,35.824726,103.053505,1336.93
2019-05-23,12.82,259.509918,719.627319,242.149643,35.363956,103.26683,1332.83
2019-05-24,12.83,260.098541,724.317627,243.454926,35.399403,103.548073,1333.77
2019-05-28,12.78,257.679474,722.521606,242.015778,35.523453,103.13105,1334.65
2019-05-29,12.78,255.950348,715.435974,238.752625,35.753838,102.840157,1329.88
2019-05-30,12.87,256.649323,719.427734,238.844666,35.948784,102.849854,1331.57
2019-05-31,13.05,253.190842,713.340149,244.099091,36.072834,103.218353,1326.37
2019-06-03,13.24,252.547043,715.735413,242.333725,36.400688,103.877785,1325.78
2019-06-04,13.24,258.028992,718.729248,240.919693,36.480434,103.96505,1331.17
2019-06-05,13.27,260.264099,719.128357,247.328842,36.188015,103.68383,1333.36
2019-06-06,13.32,261.956512,724.118225,248.081802,36.20575,104.120209,1334.92
2019-06-07,13.4,264.577942,731.303467,248.224091,36.489296,104.643867,1339.28
2019-06-10,13.26,265.791992,735.794128,247.67186,36.870316,104.527481,1343.59
2019-06-11,13.25,265.727661,737.490967,250.190369,37.286781,104.595352,1345.2
2019-06-12,13.32,265.258545,734.397034,250.031387,36.888035,104.236572,1343.77
2019-06-13,13.44,266.353088,724.521484,249.512634,36.826012,104.100792,1344.58
2019-06-14,13.39,266.058746,722.824585,250.332565,36.4184,103.460785,1344.12
2019-06-17,13.4,266.159912,723.822937,252.951431,36.562149,103.538338,1344.37
2019-06-18,13.45,268.94693,732.306702,251.939041,37.446075,103.334709,1348.58
2019-06-19,13.53,269.553925,728.114746,252.390884,37.758572,103.664421,1350.59
2019-06-20,13.89,272.129425,730.809448,253.445099,38.312141,104.236572,1357.36
2019-06-21,13.98,271.733826,729.212708,250.993591,38.187141,104.983253,1358.66
2019-06-24,14.17,271.401093,730.310547,249.33696,38.133568,105.186913,1359.34
2019-06-25,14.22,268.739227,730.709595,246.140717,37.740719,104.944466,1357.08
2019-06-26,14.08,268.47113,730.011108,241.220901,38.097855,104.915382,1356.56
2019-06-27,14.06,269.423187,729.112915,242.922531,38.365711,104.934776,1356.71
2019-06-28,14.1,270.80957,732.007263,245.921509,38.312141,104.99295,1358.42
2019-07-01,13.81,273.268097,739.193665,247.690598,38.76749,104.197784,1361.32
2019-07-02,14.12,273.979767,744.683105,251.51503,38.669277,104.159004,1360.84
2019-07-03,14.14,276.170227,749.773499,254.134842,38.597851,104.129913,1361.97
2019-07-05,13.98,275.856018,744.483643,253.646301,38.330006,103.606232,1361.37
2019-07-08,13.9,274.340271,743.884644,256.038727,38.097855,103.451073,1361.15
2019-07-09,13.94,274.68219,742.287598,257.25177,37.981785,103.441383,1359.32
2019-07-10,14.15,275.99469,742.387451,259.610474,38.303215,103.838974,1361.59
2019-07-11,14.05,276.641724,740.291321,257.748871,38.231781,103.877785,1360.71
2019-07-12,14.13,277.880188,739.892212,256.047119,38.258572,104.023232,1360.98
2019-07-15,14.12,277.972565,742.786926,256.822174,38.401421,103.887459,1361.98
2019-07-16,14.01,277.07605,746.57959,256.333557,38.347862,103.451073,1362.08
2019-07-17,14.23,275.190582,742.387451,255.752319,38.231781,103.586845,1361.12
2019-07-18,14.43,276.198059,738.095764,255.255402,38.463924,104.042633,1358.24
2019-07-19,14.23,274.663757,739.992188,248.423401,38.267502,103.499565,1358.74
2019-07-22,14.23,275.33844,740.990356,246.022568,38.276428,103.422005,1359.89
2019-07-23,14.14,277.30719,744.683105,249.021576,38.321068,102.840157,1361.79
2019-07-24,14.22,278.610321,739.892212,247.454666,38.383568,102.743187,1363.48
2019-07-25,14.12,277.279419,738.79425,251.540344,38.044281,102.830452,1364.29
2019-07-26,14.15,279.137177,745.182068,256.148224,38.124638,102.607399,1365.57
2019-07-29,14.24,278.628876,758.456848,259.315643,38.053211,102.811058,1365.94
2019-07-30,14.29,277.944946,754.164917,258.346893,37.758572,102.908043,1364.47
2019-07-31,14.1,274.904022,748.276245,254.589798,37.294292,102.083748,1365.85
2019-08-01,14.43,272.510254,748.276245,256.830597,36.562149,102.335892,1364.38
2019-08-02,14.39,270.458313,730.210693,257.260223,36.205017,102.461945,1360.69
2019-08-05,14.58,262.324799,712.444702,248.019119,34.865746,103.237747,1351.07
2019-08-06,14.7,266.003326,707.853333,252.239517,35.36573,103.26683,1353.65
2019-08-07,14.93,266.160492,710.148804,253.27565,35.526447,103.315315,1350.08
2019-08-08,15.0,271.382629,722.9245,256.266113,35.963947,103.169876,1356.54
2019-08-09,14.96,269.534088,719.531006,259.054596,35.597885,103.295921,1356.12
2019-08-12,15.11,266.25296,716.836121,263.06427,35.169315,103.392899,1355.46
2019-08-13,15.01,270.393646,719.431213,263.932037,35.615734,103.043777,1358.02
2019-08-14,15.12,262.398773,708.85144,258.852295,34.588963,102.675308,1351.52
2019-08-15,15.21,263.09201,703.162109,263.3591,34.821102,102.500748,1351.76
2019-08-16,15.12,266.973877,708.85144,265.11969,35.303246,102.27771,1354.09
2019-08-19,14.93,270.190247,715.638489,267.689087,35.446095,102.141937,1357.67
2019-08-20,15.05,268.119965,709.250427,265.979004,35.517517,102.345581,1359.22
2019-08-21,15.01,270.301178,717.135498,268.152435,35.856804,102.219528,1363.48
2019-08-22,14.97,270.218018,709.649841,270.401581,35.392525,102.171028,1365.34
2019-08-23,15.27,263.276886,707.054688,265.515808,34.865746,102.704399,1363.99
2019-08-27,15.4,265.143799,706.05658,268.590485,35.115746,102.23893,1366.65
2019-08-28,15.37,267.010834,709.150696,269.348602,35.213955,102.112877,1368.14
2019-08-29,15.26,270.421326,716.237244,270.873322,35.606812,101.928596,1370.52
2019-08-30,15.21,270.301178,717.734436,270.629089,35.883591,101.337059,1371.14
2019-09-03,15.43,268.720734,723.523315,271.774689,35.660378,101.114021,1369.23
2019-09-04,15.52,271.770813,728.314392,274.125031,36.258591,101.695862,1371.08
2019-09-05,15.16,275.264435,725.519531,273.543762,36.6693,101.734657,1373.43
2019-09-06,15.03,275.477081,726.717346,275.514954,36.830009,101.627983,1374.66
2019-09-09,14.97,275.615753,721.826538,274.344055,36.946075,101.841324,1376.41
2019-09-10,14.84,275.551056,725.020508,270.561676,36.972866,101.754059,1377.64
2019-09-11,14.94,277.510468,731.807617,271.404083,37.231789,101.482536,1377.25
2019-09-12,14.96,278.471771,722.918396,272.954102,37.499649,101.977081,1378.22
2019-09-13,14.85,278.286865,725.713501,271.783173,37.713932,102.044975,1376.66
2019-09-16,14.97,277.427216,721.221497,273.18988,37.419296,101.414642,1380.29
2019-09-17,14.99,278.12973,720.822144,276.997589,37.419296,101.996475,1380.22
2019-09-18,14.9,278.296112,719.923706,276.652222,37.267506,101.657074,1379.66
2019-09-19,14.95,278.277527,725.014648,275.405396,37.115726,101.763748,1380.48
2019-09-20,15.14,276.96283,722.619019,271.943237,37.15144,101.531013,1380.51
2019-09-23,15.23,276.897888,721.72052,273.905945,37.187153,101.307983,1380.73
2019-09-24,15.29,274.725037,717.528015,273.914398,36.7943,101.501915,1380.57
2019-09-25,15.02,276.350006,717.727722,275.734009,36.767517,100.842514,1377.63
2019-09-26,15.02,275.774261,723.91687,278.168549,36.758587,100.600052,1377.05
