,BAMLHYH0A0HYM2TRIV,^BSESN,China_EQ,ISF.L,ESS,^GSPC,GOLD.AX
2009-04-28,495.61,11001.75,2401.437988,409.385529,38.372532,855.159973,125.790001
2009-04-29,500.93,11403.25,2468.191895,418.943085,40.557117,873.640015,123.440002
2009-05-05,517.51,12131.080078,2567.336914,432.881409,38.475403,903.799988,119.839996
2009-05-06,520.88,11952.75,2592.52002,440.049652,40.944412,919.530029,120.349998
2009-05-07,527.56,12116.94043,2597.447021,440.746582,38.89901,907.390015,119.300003
2009-05-08,531.17,11876.429688,2625.64502,446.122772,40.944412,929.22998,119.190002
2009-05-11,530.87,11682.990234,2579.74707,443.832916,39.340767,909.23999,117.209999
2009-05-12,529.97,12158.030273,2618.172119,443.03656,39.516262,908.349976,117.599998
2009-05-13,527.98,12019.650391,2663.766113,434.275299,37.549526,883.919983,118.099998
2009-05-14,525.42,11872.910156,2639.886963,437.759857,38.548027,893.070007,120.75
2009-05-15,525.19,12173.419922,2645.262939,437.361725,37.785534,882.880005,119.959999
2009-05-18,525.82,14284.209961,2652.779053,446.620605,39.867249,909.710022,122.0
2009-05-19,528.64,14302.030273,2676.681885,450.105042,38.541969,908.130005,118.529999
2009-05-20,534.08,14060.660156,2651.414063,450.105042,38.057842,903.469971,118.589996
2009-05-21,535.18,13736.540039,2610.62207,437.759857,38.463287,888.330017,119.410004
2009-05-22,537.0,13887.150391,2597.601074,439.352783,37.688713,887.0,120.230003
2009-05-26,538.23,13589.230469,2588.574951,443.633698,40.296898,910.330017,120.199997
2009-05-27,540.34,14109.639648,2632.929932,439.352783,39.183426,893.059998,118.959999
2009-06-01,547.73,14840.629883,2721.280029,448.512268,41.894501,942.869995,120.150002
2009-06-02,552.56,14874.910156,2724.302002,445.425781,41.222775,944.73999,118.5
2009-06-03,554.57,14870.900391,2778.589111,438.058502,41.894501,931.76001,117.639999
2009-06-04,556.01,15008.679688,2767.243896,438.556305,41.670578,942.460022,118.989998
2009-06-05,557.51,15103.549805,2753.891113,443.135925,41.186474,940.090027,119.599998
2009-06-09,560.99,15127.0,2787.886963,440.149323,40.472397,942.429993,118.519997
2009-06-10,563.01,15466.80957,2816.24707,443.733307,40.024574,939.150024,116.699997
2009-06-11,564.97,15411.469727,2797.320068,445.525421,38.620632,944.890015,116.07
2009-06-12,567.23,15237.94043,2743.761963,443.235626,39.885403,946.210022,114.919998
2009-06-15,568.05,14875.519531,2789.549072,431.388062,38.299908,923.719971,114.099998
2009-06-16,567.22,14957.910156,2776.021973,431.587219,38.166763,911.969971,115.550003
2009-06-17,562.66,14522.839844,2810.123047,427.306183,37.985229,910.710022,115.400002
2009-06-18,558.95,14265.530273,2853.903076,427.405609,38.66906,918.369995,116.239998
2009-06-19,559.8,14521.889648,2880.491943,434.474396,38.354366,921.22998,113.800003
2009-06-22,558.61,14326.219727,2896.302002,422.82605,37.228783,893.039978,114.300003
2009-06-23,557.47,14324.009766,2892.697021,423.423401,37.954979,895.099976,114.760002
2009-06-24,557.3,14422.730469,2922.299072,427.903534,38.511715,900.940002,113.720001
2009-06-25,558.42,14345.620117,2925.045898,424.916779,37.930759,920.26001,114.650002
2009-06-26,559.26,14764.639648,2928.210938,424.120239,37.89386,918.900024,114.82
2009-06-29,560.74,14785.740234,2975.313965,429.596008,38.213787,927.22998,114.599998
2009-06-30,562.6,14493.839844,2959.362061,425.315063,38.287617,919.320007,113.809998
2009-07-01,564.2,14645.469727,3008.149902,433.976593,38.533718,923.330017,113.349998
2009-07-02,565.35,14658.490234,3060.253906,421.929962,36.429527,896.419983,114.32
2009-07-06,564.64,14043.400391,3124.666992,419.142273,38.404526,898.719971,114.5
2009-07-07,565.02,14170.450195,3089.449951,417.94754,36.8479,881.030029,113.639999
2009-07-08,563.74,13769.150391,3080.773926,413.46756,36.1096,879.559998,115.0
2009-07-09,562.7,13757.459961,3123.034912,415.458588,35.592789,882.679993,114.580002
2009-07-10,562.92,13504.219727,3113.931885,412.272736,35.100563,879.130005,114.699997
2009-07-13,562.3,13400.320313,3080.555908,419.341522,36.503365,901.049988,115.25
2009-07-14,563.3,13853.700195,3145.156982,423.323822,36.534138,905.840027,114.739998
2009-07-15,565.16,14253.240234,3188.551025,434.076141,37.518517,932.679993,114.230003
2009-07-16,565.46,14250.25,3183.741943,435.569519,37.733898,940.73999,114.940002
2009-07-17,567.63,14744.919922,3189.740967,438.357239,36.724854,940.380005,114.699997
2009-07-20,570.81,15191.009766,3266.919922,443.434784,37.875401,951.130005,114.699997
2009-07-21,574.67,15062.490234,3213.206055,447.417084,37.173996,954.580017,114.360001
2009-07-22,576.01,14843.120117,3296.61499,448.512268,36.989403,954.070007,114.019997
2009-07-23,579.18,15231.040039,3328.48999,455.082977,37.992287,976.289978,114.339996
2009-07-24,582.08,15378.959961,3372.603027,456.97464,39.00132,979.26001,114.050003
2009-07-27,585.22,15375.040039,3435.211914,457.372864,40.090324,982.179993,113.949997
2009-07-28,587.62,15331.94043,3438.371094,451.69809,40.404118,979.619995,112.860001
2009-07-29,590.12,15173.459961,3266.431885,453.490021,39.874992,975.150024,111.480003
2009-07-30,593.56,15387.959961,3321.560059,462.450378,40.840946,986.75,111.389999
2009-07-31,597.39,15670.30957,3412.062012,459.961578,39.998035,987.47998,111.110001
2009-08-03,600.57,15924.230469,3462.590088,467.826477,40.299515,1002.630005,111.550003
2009-08-04,602.98,15830.980469,3471.441895,466.432739,43.27739,1005.650024,111.120003
2009-08-05,604.55,15903.830078,3428.500977,464.242462,44.550961,1002.719971,112.540001
2009-08-06,606.39,15514.030273,3356.330078,469.021301,44.624794,997.080017,112.110001
2009-08-07,608.02,15160.240234,3260.689941,473.103149,46.242939,1010.47998,112.559998
2009-08-10,610.58,15009.769531,3249.76001,472.306824,45.000099,1007.099976,111.620003
2009-08-11,610.62,15074.589844,3264.726074,467.328705,44.987797,994.349976,111.199997
2009-08-12,607.79,15020.160156,3112.718994,472.505829,45.012402,1005.809998,112.809998
2009-08-13,607.24,15518.490234,3140.560059,478.081024,45.203129,1012.72998,111.699997
2009-08-14,606.97,15411.629883,3046.971924,473.700562,44.987797,1004.090027,111.190002
2009-08-17,603.83,14784.919922,2870.629883,466.930542,43.092808,979.72998,112.669998
2009-08-18,602.85,15035.259766,2910.884033,470.4151,43.98494,989.669983,111.779999
2009-08-19,602.74,14809.639648,2785.583984,471.609833,43.763443,996.460022,111.330002
2009-08-20,602.8,15012.320313,2911.582031,478.47937,44.594036,1007.369995,111.349998
2009-08-21,603.26,15240.830078,2960.770996,488.236084,45.203129,1026.130005,111.809998
2009-08-24,605.26,15628.75,2993.428955,491.91983,45.264656,1025.569946,111.519997
2009-08-25,606.52,15688.469727,2915.802979,494.109985,45.578445,1028.0,111.18
2009-08-26,607.14,15769.849609,2967.594971,487.638824,45.473862,1028.119995,111.199997
2009-08-27,607.95,15781.070313,2946.39502,485.548065,45.879929,1030.97998,112.230003
2009-08-28,609.05,15922.339844,2860.687988,489.331238,45.603069,1028.930054,111.099998
2009-09-01,609.31,15551.19043,2683.724121,479.574554,44.464817,998.039978,111.980003
2009-09-02,609.68,15467.459961,2714.974121,479.873199,43.135876,994.75,112.900002
2009-09-03,610.34,15398.330078,2845.023926,477.882019,43.597309,1003.23999,114.980003
2009-09-04,610.68,15689.120117,2861.608887,483.357635,44.378662,1016.400024,115.699997
2009-09-08,612.79,16123.669922,2930.475098,493.014893,45.627674,1025.390015,114.480003
2009-09-09,614.19,16183.549805,2946.259033,498.789368,46.38443,1033.369995,114.559998
2009-09-10,617.87,16216.860352,2924.883057,497.196381,46.433651,1044.140015,113.599998
2009-09-11,621.45,16264.299805,2989.791992,498.789368,46.076805,1042.72998,113.849998
2009-09-14,625.38,16214.19043,3026.740967,500.282654,46.858189,1049.339966,114.699997
2009-09-15,630.41,16454.449219,3033.728027,503.169891,47.774929,1052.630005,113.860001
2009-09-16,635.72,16677.039063,2999.709961,511.034943,51.121933,1068.76001,114.949997
2009-09-17,637.45,16711.109375,3060.26001,514.619202,51.048115,1065.48999,114.919998
2009-09-18,638.34,16741.300781,2962.666992,515.91333,51.878716,1068.300049,114.629997
2009-09-22,641.42,16886.429688,2897.552979,512.727722,52.949242,1071.660034,113.410004
2009-09-23,644.1,16719.5,2842.720947,512.13031,50.857365,1060.869995,113.800003
2009-09-24,645.54,16781.429688,2853.553955,506.554962,49.928322,1050.780029,113.5
2009-09-25,645.69,16693.0,2838.842041,507.152405,49.589962,1044.380005,112.400002
2009-09-29,646.53,16852.910156,2754.540039,513.922241,50.150841,1060.609985,111.0
2009-09-30,645.96,17126.839844,2779.426025,511.931061,49.596184,1057.079956,111.199997
2009-10-09,648.07,16642.660156,2911.715088,515.017517,49.022793,1071.48999,113.370003
2009-10-12,648.54,17026.669922,2894.48291,519.199036,48.574085,1076.189941,114.400002
2009-10-14,651.36,17231.109375,2970.531982,524.276367,50.038654,1092.02002,114.800003
2009-10-15,652.29,17195.199219,2979.788086,521.190125,49.159916,1096.560059,113.360001
2009-10-16,653.31,17322.820313,2976.633057,517.904785,48.355957,1087.680054,111.440002
2009-10-20,656.57,17223.009766,3084.454102,523.479858,48.362194,1091.060059,112.5
2009-10-21,657.01,17009.169922,3070.589111,524.774109,47.190529,1081.400024,112.559998
2009-10-22,657.88,16789.740234,3051.412109,519.099304,48.418289,1092.910034,111.900002
2009-10-23,658.4,16810.810547,3107.846924,522.982178,47.969563,1079.599976,112.0
2009-10-26,659.35,16740.5,3109.565918,518.103516,48.094193,1066.949951,112.0
2009-10-27,659.54,16353.400391,3021.458984,518.601563,48.331036,1063.410034,111.150002
2009-10-28,657.79,16283.490234,3031.329102,506.256195,47.028503,1042.630005,112.019997
2009-10-29,656.63,16052.719727,2960.466064,511.83136,48.206387,1066.109985,112.720001
2009-10-30,657.48,15896.280273,2995.8479,502.273895,46.853981,1036.189941,112.360001
2009-11-03,655.79,15404.94043,3114.227051,501.975281,47.863605,1045.410034,115.550003
2009-11-04,656.21,15912.129883,3128.537109,510.139069,48.29987,1046.5,117.790001
2009-11-05,657.06,16063.900391,3155.052979,511.931061,49.197315,1066.630005,117.519997
2009-11-06,657.32,16158.280273,3164.037109,513.4245,48.187683,1069.300049,116.860001
2009-11-09,658.69,16498.720703,3175.584961,521.986389,49.652275,1093.079956,116.910004
2009-11-10,659.94,16440.560547,3178.610107,522.086121,50.100979,1093.01001,116.230003
2009-11-11,660.09,16849.599609,3175.191895,526.665833,51.066994,1098.51001,116.550003
2009-11-12,660.86,16696.029297,3172.945068,527.163513,50.742916,1087.23999,117.099998
2009-11-13,661.4,16848.830078,3187.646973,529.55304,50.830166,1093.47998,116.800003
2009-11-16,662.68,17032.509766,3275.048096,537.915894,51.858467,1109.300049,118.599998
2009-11-17,662.96,17050.650391,3282.888916,534.929077,50.150841,1110.319946,119.0
